Employee ID,Basic Salary,Bonus,HRA,TA,TDS,PPF
1,44896,6349,8979.2,6621,6684.52,5387.5199999999995
2,79922,11434,15984.400000000001,6991,11433.14,9590.64
3,52957,17752,10591.400000000001,7902,8920.24,6354.84
4,70268,18814,14053.6,7190,11032.560000000001,8432.16
5,79708,14962,15941.6,2618,11322.960000000001,9564.96
6,67207,5501,13441.400000000001,3351,8950.039999999999,8064.84
7,42291,16509,8458.2,7187,7444.52,5074.92
8,40220,8136,8044.0,4362,6076.200000000001,4826.4
9,44529,17631,8905.800000000001,4955,7602.080000000001,5343.48
10,77277,19626,15455.400000000001,7023,11938.14,9273.24
11,68554,8947,13710.800000000001,2652,9386.380000000001,8226.48
12,77482,8395,15496.400000000001,6978,10835.14,9297.84
13,46899,5669,9379.800000000001,7956,6990.380000000001,5627.88
14,30277,5907,6055.400000000001,3827,4606.64,3633.24
15,69301,18600,13860.2,4996,10675.720000000001,8316.119999999999
16,39331,17850,7866.200000000001,6619,7166.62,4719.72
17,69131,18531,13826.2,6654,10814.220000000001,8295.72
18,69519,10764,13903.800000000001,7019,10120.580000000002,8342.279999999999
19,38498,13818,7699.6,2603,6261.860000000001,4619.76
20,58266,5531,11653.2,4554,8000.42,6991.92
21,49681,9780,9936.2,2158,7155.52,5961.719999999999
22,48944,17226,9788.800000000001,5813,8177.18,5873.28
23,58385,19592,11677.0,5685,9533.9,7006.2
24,54790,16739,10958.0,6801,8928.800000000001,6574.8
25,64190,11442,12838.0,2275,9074.5,7702.799999999999
26,58684,14895,11736.800000000001,7031,9234.68,7042.08
27,64921,8611,12984.2,4516,9103.22,7790.5199999999995
28,67256,11116,13451.2,3420,9524.32,8070.719999999999
29,71794,8222,14358.800000000001,7911,10228.580000000002,8615.279999999999
30,73416,18819,14683.2,5336,11225.42,8809.92
31,51502,10433,10300.400000000001,2758,7499.34,6180.24
32,73720,9641,14744.0,7371,10547.6,8846.4
33,77415,19759,15483.0,5121,11777.800000000001,9289.8
34,72079,8175,14415.800000000001,4411,9908.080000000002,8649.48
35,57651,6342,11530.2,6573,8209.62,6918.12
36,70507,18669,14101.400000000001,5527,10880.44,8460.84
37,73487,18571,14697.400000000001,5278,11203.34,8818.44
38,33433,16708,6686.6,4365,6119.26,4011.96
39,33697,17472,6739.400000000001,3410,6131.84,4043.64
40,47627,15754,9525.4,7658,8056.44,5715.24
41,56036,15509,11207.2,2512,8526.42,6724.32
42,52641,6420,10528.2,2735,7232.42,6316.92
43,74714,17052,14942.800000000001,2367,10907.580000000002,8965.68
44,51971,16883,10394.2,4859,8410.72,6236.5199999999995
45,47269,6772,9453.800000000001,7011,7050.580000000001,5672.28
46,48458,8261,9691.6,5684,7209.460000000001,5814.96
47,61251,15012,12250.2,3070,9158.32,7350.12
48,34512,9304,6902.400000000001,4104,5482.240000000001,4141.44
49,76625,16587,15325.0,6006,11454.300000000001,9195.0
50,39128,9298,7825.6,2497,5874.860000000001,4695.36
51,42733,9625,8546.6,4533,6543.76,5127.96
52,64570,13302,12914.0,6382,9716.800000000001,7748.4
53,52019,13362,10403.800000000001,7798,8358.28,6242.28
54,69357,15970,13871.400000000001,4387,10358.54,8322.84
55,79870,11480,15974.0,4810,11213.400000000001,9584.4
56,54780,10105,10956.0,6811,8265.2,6573.599999999999
