Employee ID,Basic Salary,Bonus,HRA,TA,TDS,PPF,Gross Salary,Net Salary
1,30939,8813,6187.8,6620,5255.9800000000005,3712.68,52559.8,43591.14
2,31931,16992,6386.200000000001,2980,5828.92,3831.72,58289.2,48628.56
3,31148,15892,6229.6,6621,5989.06,3737.76,59890.6,50163.78
4,79955,6418,15991.0,5342,10770.6,9594.6,107706.0,87340.79999999999
5,67606,15046,13521.2,3012,9918.52,8112.719999999999,99185.2,81153.95999999999
6,72704,13869,14540.8,3248,10436.18,8724.48,104361.8,85201.14
7,38755,19452,7751.0,4415,7037.3,4650.599999999999,70373.0,58685.1
8,57181,15492,11436.2,2637,8674.62,6861.719999999999,86746.2,71209.86
9,40740,18109,8148.0,6112,7310.900000000001,4888.8,73109.0,60909.3
10,51275,18739,10255.0,4946,8521.5,6153.0,85215.0,70540.5
11,36641,6663,7328.200000000001,2855,5348.72,4396.92,53487.2,43741.56
12,52888,8723,10577.6,7714,7990.260000000001,6346.56,79902.6,65565.78000000001
13,78451,8838,15690.2,2086,10506.52,9414.12,105065.2,85144.56
14,57534,13064,11506.8,4115,8621.980000000001,6904.08,86219.8,70693.74
15,51926,16275,10385.2,7705,8629.12,6231.12,86291.2,71430.96
16,44041,13673,8808.2,4681,7120.32,5284.92,71203.2,58797.96
17,70357,11143,14071.4,6003,10157.44,8442.84,101574.4,82974.12
18,58976,8830,11795.2,6501,8610.22,7077.12,86102.2,70414.86
19,57550,14440,11510.0,2728,8622.800000000001,6906.0,86228.0,70699.2
20,77855,17598,15571.0,7728,11875.2,9342.6,118752.0,97534.2
21,48194,17205,9638.8,6590,8162.780000000001,5783.28,81627.8,67681.74
22,61791,17085,12358.2,3062,9429.62,7414.92,94296.2,77451.66
23,67429,12788,13485.8,4283,9798.58,8091.48,97985.8,80095.74
24,43669,6522,8733.800000000001,7294,6621.880000000001,5240.28,66218.8,54356.64
25,31340,13969,6268.0,5693,5727.0,3760.8,57270.0,47782.2
26,34097,17559,6819.400000000001,2596,6107.14,4091.64,61071.4,50872.62
27,45828,11386,9165.6,2685,6906.460000000001,5499.36,69064.6,56658.780000000006
28,41756,5496,8351.2,3030,5863.32,5010.72,58633.2,47759.159999999996
29,69456,17844,13891.2,3540,10473.12,8334.72,104731.2,85923.36
30,37217,15480,7443.400000000001,3027,6316.740000000001,4466.04,63167.4,52384.62
31,61600,8315,12320.0,3427,8566.2,7392.0,85662.0,69703.8
32,58786,17037,11757.2,2611,9019.12,7054.32,90191.2,74117.76000000001
33,59005,7098,11801.0,6797,8470.1,7080.599999999999,84701.0,69150.29999999999
34,42121,8097,8424.2,2265,6090.72,5054.52,60907.2,49761.95999999999
35,70101,15963,14020.2,5827,10591.12,8412.119999999999,105911.2,86907.96
36,76478,19896,15295.6,3509,11517.86,9177.36,115178.6,94483.38
37,61123,15523,12224.6,5295,9416.56,7334.759999999999,94165.6,77414.28000000001
38,78755,11064,15751.0,5992,11156.2,9450.6,111562.0,90955.2
39,78151,5084,15630.2,2969,10183.42,9378.12,101834.2,82272.66
40,39174,17049,7834.8,5802,6985.9800000000005,4700.88,69859.8,58172.94
41,51019,17147,10203.8,4709,8307.880000000001,6122.28,83078.8,68648.64
42,33226,6345,6645.200000000001,5004,5122.02,3987.12,51220.2,42111.05999999999
43,31890,12074,6378.0,5434,5577.6,3826.8,55776.0,46371.6
44,54844,14916,10968.8,6111,8683.980000000001,6581.28,86839.8,71574.54000000001
45,75889,7848,15177.8,7197,10611.18,9106.68,106111.8,86393.94
46,49476,14410,9895.2,3088,7686.92,5937.12,76869.2,63245.159999999996
47,62194,14347,12438.8,4916,9389.58,7463.28,93895.8,77042.94
48,61597,5037,12319.4,6498,8545.14,7391.639999999999,85451.4,69514.62
49,79621,11186,15924.2,3133,10986.42,9554.52,109864.2,89323.26
50,34908,8631,6981.6,5597,5611.76,4188.96,56117.6,46316.88
51,61348,14448,12269.6,6089,9415.46,7361.759999999999,94154.6,77377.38000000002
52,67013,11473,13402.6,6394,9828.26,8041.559999999999,98282.6,80412.78000000001
53,39038,8184,7807.6,6295,6132.46,4684.56,61324.6,50507.58
54,79535,15426,15907.0,6892,11776.0,9544.2,117760.0,96439.8
55,35301,6236,7060.200000000001,6904,5550.12,4236.12,55501.2,45714.95999999999
56,66922,6169,13384.4,7487,9396.24,8030.639999999999,93962.4,76535.51999999999
57,31904,16768,6380.8,3319,5837.18,3828.48,58371.8,48706.14
58,58750,14727,11750.0,7297,9252.4,7050.0,92524.0,76221.6
59,32097,14141,6419.400000000001,6297,5895.4400000000005,3851.64,58954.4,49207.32
60,64764,17488,12952.8,4274,9947.88,7771.679999999999,99478.8,81759.24
61,61844,19415,12368.8,5075,9870.28,7421.28,98702.8,81411.24
62,51558,17407,10311.6,3072,8234.86,6186.96,82348.6,67926.78
63,55776,10839,11155.2,4747,8251.72,6693.12,82517.2,67572.36
64,66700,18227,13340.0,4371,10263.8,8004.0,102638.0,84370.2
65,64712,9067,12942.4,4120,9084.14,7765.44,90841.4,73991.81999999999
66,36878,17646,7375.6,3463,6536.26,4425.36,65362.6,54400.979999999996
67,59874,14154,11974.8,7117,9311.98,7184.88,93119.8,76622.94
68,33938,10844,6787.6,5977,5754.66,4072.56,57546.6,47719.380000000005
69,76151,15224,15230.2,6649,11325.42,9138.12,113254.2,92790.66
70,47061,14460,9412.2,6263,7719.62,5647.32,77196.2,63829.26
71,74414,18190,14882.8,5278,11276.48,8929.68,112764.8,92558.64000000001
72,56896,18975,11379.2,6230,9348.02,6827.52,93480.2,77304.65999999999
73,65416,6919,13083.2,7981,9339.92,7849.92,93399.2,76209.36
74,72534,14260,14506.8,2635,10393.580000000002,8704.08,103935.8,84838.14
75,48007,11110,9601.4,3228,7194.639999999999,5760.84,71946.4,58990.92
76,57224,11340,11444.8,6033,8604.18,6866.88,86041.8,70570.73999999999
77,53473,11315,10694.6,7873,8335.560000000001,6416.759999999999,83355.6,68603.28000000001
78,71724,9058,14344.8,6487,10161.38,8606.88,101613.8,82845.54
79,60683,6256,12136.6,6486,8556.160000000002,7281.96,85561.6,69723.48
80,39157,8530,7831.400000000001,6104,6162.240000000001,4698.84,61622.4,50761.32000000001
81,45988,13513,9197.6,3090,7178.860000000001,5518.56,71788.6,59091.18000000001
82,47744,18158,9548.8,4399,7984.98,5729.28,79849.8,66135.54000000001
83,42723,9131,8544.6,4480,6487.860000000001,5126.76,64878.6,53263.979999999996
84,75297,12867,15059.4,7780,11100.34,9035.64,111003.4,90867.42
85,72602,6630,14520.4,2773,9652.54,8712.24,96525.4,78160.61999999998
86,55998,13051,11199.6,7061,8730.960000000001,6719.759999999999,87309.6,71858.88
87,62729,5163,12545.8,4112,8454.980000000001,7527.48,84549.8,68567.34000000001
88,73152,5389,14630.4,4656,9782.74,8778.24,97827.4,79266.41999999998
89,52614,11719,10522.8,7911,8276.68,6313.679999999999,82766.8,68176.44
90,62674,14303,12534.8,5678,9518.98,7520.88,95189.8,78149.94
