Employee ID,Basic Salary,Bonus,HRA,TA,TDS,PPF
1,73353,6075,14670.6,7599,10169.760000000002,8802.36
2,77593,17229,15518.6,3855,11419.560000000001,9311.16
3,52679,7846,10535.800000000001,4152,7521.280000000001,6321.48
4,79985,16906,15997.0,7750,12063.800000000001,9598.199999999999
5,70607,12715,14121.400000000001,5529,10297.24,8472.84
6,57435,15533,11487.0,6426,9088.1,6892.2
7,74371,17558,14874.2,4470,11127.32,8924.52
8,36658,6702,7331.6,2981,5367.26,4398.96
9,60126,5629,12025.2,3331,8111.12,7215.12
10,54200,5547,10840.0,2918,7350.5,6504.0
11,47493,18765,9498.6,7920,8367.660000000002,5699.16
12,30281,16172,6056.200000000001,5010,5751.92,3633.72
13,73298,16501,14659.6,7970,11242.86,8795.76
14,62492,5282,12498.400000000001,5428,8570.039999999999,7499.04
15,60525,10549,12105.0,3684,8686.300000000001,7263.0
16,46783,15429,9356.6,3624,7519.260000000001,5613.96
17,40112,18872,8022.400000000001,7995,7500.139999999999,4813.44
18,70456,13715,14091.2,6685,10494.720000000001,8454.72
19,54230,7548,10846.0,4383,7700.700000000001,6507.599999999999
20,77078,14381,15415.6,7321,11419.560000000001,9249.359999999999
21,42090,6365,8418.0,6587,6346.0,5050.8
22,47097,7573,9419.4,7791,7188.04,5651.639999999999
23,67165,19442,13433.0,5869,10590.900000000001,8059.799999999999
24,40848,10428,8169.6,4711,6415.66,4901.76
25,62622,5374,12524.400000000001,5955,8647.539999999999,7514.639999999999
26,37577,5914,7515.400000000001,2339,5334.540000000001,4509.24
27,39996,9552,7999.200000000001,3102,6064.92,4799.5199999999995
28,60033,15844,12006.6,2458,9034.160000000002,7203.96
29,41477,19719,8295.4,2822,7231.34,4977.24
30,62195,9362,12439.0,5174,8917.0,7463.4
31,46075,9539,9215.0,3571,6840.0,5529.0
32,69652,5755,13930.400000000001,4109,9344.64,8358.24
33,62045,9280,12409.0,4358,8809.2,7445.4
34,73819,7404,14763.800000000001,2551,9853.78,8858.279999999999
35,55538,13863,11107.6,6381,8688.960000000001,6664.5599999999995
36,74545,7696,14909.0,2031,9918.1,8945.4
37,61646,18048,12329.2,4838,9686.12,7397.5199999999995
38,52135,9635,10427.0,5092,7728.900000000001,6256.2
39,60258,15901,12051.6,4306,9251.660000000002,7230.96
40,30801,8393,6160.200000000001,2896,4825.0199999999995,3696.12
41,78360,19297,15672.0,7535,12086.400000000001,9403.199999999999
42,48820,6673,9764.0,5309,7056.6,5858.4
43,52514,18463,10502.800000000001,5430,8690.980000000001,6301.679999999999
44,60499,14039,12099.800000000001,3770,9040.78,7259.88
45,35111,18597,7022.200000000001,2533,6326.32,4213.32
46,74907,15224,14981.400000000001,7176,11228.84,8988.84
47,75200,14954,15040.0,5107,11030.1,9024.0
48,60488,5484,12097.6,3126,8119.560000000001,7258.5599999999995
49,38177,6829,7635.400000000001,5976,5861.740000000001,4581.24
50,45168,9002,9033.6,2417,6562.060000000001,5420.16
51,60646,17868,12129.2,2418,9306.12,7277.5199999999995
52,68560,9741,13712.0,4963,9697.6,8227.199999999999
53,54156,12027,10831.2,4867,8188.12,6498.719999999999
54,32371,15922,6474.200000000001,7472,6223.92,3884.52
55,44371,8612,8874.2,5730,6758.72,5324.5199999999995
56,57588,5183,11517.6,4455,7874.360000000001,6910.5599999999995
57,34888,15851,6977.6,7501,6521.76,4186.5599999999995
58,46560,18465,9312.0,4934,7927.1,5587.2
59,68322,16112,13664.400000000001,7238,10533.64,8198.64
60,67439,19818,13487.800000000001,4243,10498.78,8092.679999999999
61,62745,18412,12549.0,7820,10152.6,7529.4
62,67897,5005,13579.400000000001,2981,8946.24,8147.639999999999
63,60987,14783,12197.400000000001,6990,9495.74,7318.44
64,49104,13251,9820.800000000001,7260,7943.580000000001,5892.48
65,66427,7307,13285.400000000001,5719,9273.84,7971.24
66,65761,18254,13152.2,6934,10410.12,7891.32
67,53966,8146,10793.2,6368,7927.32,6475.92
